Date,Open,High,Low,Close,Adj Close,Volume
2002-09-02,3122.300049,3132.100098,3112.600098,3131.000000,3131.000000,0
2002-09-03,3131.000000,3143.199951,3125.399902,3143.199951,3143.199951,0
2002-09-04,3143.199951,3143.199951,3090.399902,3093.199951,3093.199951,0
2002-09-05,3093.199951,3122.199951,3093.199951,3113.500000,3113.500000,0
2002-09-06,3113.500000,3113.500000,3079.899902,3089.500000,3089.500000,0
2002-09-09,3089.500000,3123.000000,3089.500000,3119.600098,3119.600098,0
2002-09-10,3119.600098,3121.000000,3106.899902,3110.699951,3110.699951,0
2002-09-11,3110.100098,3148.000000,3110.100098,3148.000000,3148.000000,0
2002-09-12,3148.000000,3149.199951,3138.800049,3142.100098,3142.100098,0
2002-09-13,3142.100098,3142.100098,3115.000000,3130.600098,3130.600098,0
2002-09-16,3130.600098,3137.600098,3121.800049,3125.699951,3125.699951,0
2002-09-17,3125.699951,3156.699951,3125.699951,3156.699951,3156.699951,0
2002-09-18,3156.699951,3156.699951,3111.399902,3120.300049,3120.300049,0
2002-09-19,3120.300049,3120.300049,3086.899902,3090.699951,3090.699951,0
2002-09-20,3090.699951,3090.699951,3062.300049,3073.600098,3073.600098,0
2002-09-23,3070.199951,3070.199951,3046.199951,3046.699951,3046.699951,0
2002-09-24,3046.699951,3046.699951,3018.699951,3033.300049,3033.300049,0
2002-09-25,3033.300049,3033.300049,2989.000000,2991.100098,2991.100098,0
2002-09-26,2991.100098,3017.800049,2987.199951,2988.699951,2988.699951,0
2002-09-27,2988.699951,3022.199951,2988.699951,3008.899902,3008.899902,0
2002-09-30,3001.100098,3001.100098,2953.199951,2970.899902,2970.899902,0
2002-10-01,2970.899902,2989.199951,2959.800049,2987.199951,2987.199951,0
2002-10-02,2987.199951,3018.000000,2987.199951,2998.199951,2998.199951,0
2002-10-03,2998.199951,2999.500000,2983.800049,2999.300049,2999.300049,0
2002-10-04,2999.300049,3000.399902,2983.600098,2991.600098,2991.600098,0
2002-10-07,2986.199951,2986.199951,2940.000000,2940.000000,2940.000000,0
2002-10-08,2940.000000,2954.699951,2933.300049,2946.000000,2946.000000,0
2002-10-09,2946.000000,2952.899902,2908.800049,2912.699951,2912.699951,0
2002-10-10,2912.699951,2912.699951,2883.500000,2896.600098,2896.600098,0
2002-10-11,2896.600098,2929.699951,2896.600098,2924.600098,2924.600098,0
2002-10-14,2924.600098,2965.500000,2924.600098,2959.800049,2959.800049,0
2002-10-15,2959.800049,2994.899902,2957.500000,2994.899902,2994.899902,0
2002-10-16,2994.899902,3024.000000,2984.899902,2993.800049,2993.800049,0
2002-10-17,2993.800049,3001.699951,2968.600098,2989.800049,2989.800049,0
